ip;date;time;request
200.238.75.200;22/Jul/2024;09:50:02 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;22/Jul/2024;09:50:04 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;22/Jul/2024;09:55:32 -0300;/logout/
200.238.75.200;22/Jul/2024;09:55:52 -0300;/logout/
200.238.75.200;22/Jul/2024;09:56:18 -0300;/curso_detail/27
200.238.75.200;22/Jul/2024;09:56:21 -0300;/inscricoes/
200.238.75.200;22/Jul/2024;10:09:26 -0300;/cursos/
200.238.75.200;22/Jul/2024;10:09:43 -0300;/curso_detail/27
200.238.75.200;22/Jul/2024;10:13:15 -0300;/cursos/
200.238.75.200;22/Jul/2024;10:13:20 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;10:13:44 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;10:13:44 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;10:14:46 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;10:14:47 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;10:16:00 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;10:16:18 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;10:16:18 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;10:16:43 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;10:17:05 -0300;/cursos/
200.238.75.200;22/Jul/2024;10:17:49 -0300;/cursos/
200.238.75.200;22/Jul/2024;10:36:36 -0300;/curso_detail/34
200.238.75.200;22/Jul/2024;10:42:51 -0300;/curso_detail/33
200.238.75.200;22/Jul/2024;10:42:57 -0300;/curso_detail/27
200.238.75.200;22/Jul/2024;10:43:02 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;10:43:05 -0300;/curso_detail/31
200.238.75.200;22/Jul/2024;10:43:07 -0300;/curso_detail/34
200.238.75.200;22/Jul/2024;10:43:09 -0300;/curso_detail/32
200.238.75.200;22/Jul/2024;10:50:14 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;22/Jul/2024;10:50:14 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;22/Jul/2024;10:52:14 -0300;/change-password/
200.238.75.200;22/Jul/2024;10:53:04 -0300;/cursos/
200.238.75.200;22/Jul/2024;10:53:21 -0300;/curso_detail/32
200.238.75.200;22/Jul/2024;10:53:46 -0300;/cursos/
200.238.75.200;22/Jul/2024;11:05:05 -0300;/cursos/
200.238.75.200;22/Jul/2024;11:06:30 -0300;/cursos/
200.238.75.200;22/Jul/2024;11:10:39 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;11:10:39 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;11:11:44 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;11:11:44 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;11:11:47 -0300;/registrar/
200.238.75.200;22/Jul/2024;11:19:26 -0300;/cursos/
200.238.75.200;22/Jul/2024;11:20:00 -0300;/logout/
200.238.75.200;22/Jul/2024;11:20:04 -0300;/registrar/
200.238.75.200;22/Jul/2024;11:20:22 -0300;/inscricoes/
200.238.75.200;22/Jul/2024;11:20:53 -0300;/logout/
200.238.75.200;22/Jul/2024;11:21:03 -0300;/cursos/
200.238.75.200;22/Jul/2024;11:21:20 -0300;/cursos/
200.238.75.200;22/Jul/2024;11:21:32 -0300;/curso_detail/27
200.238.75.200;22/Jul/2024;11:23:06 -0300;/curso_detail/34
200.238.75.200;22/Jul/2024;11:33:19 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;11:41:25 -0300;/accounts/login/?next=/ch/
200.238.75.200;22/Jul/2024;11:42:58 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;11:42:59 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;11:43:51 -0300;/cursos/
200.238.75.200;22/Jul/2024;11:43:53 -0300;/curso_detail/27
200.238.75.200;22/Jul/2024;11:44:54 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;11:44:54 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;11:49:05 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;11:49:05 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;11:49:34 -0300;/registrar/
200.238.75.200;22/Jul/2024;11:52:17 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;11:52:17 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;11:52:39 -0300;/registrar/
200.238.75.200;22/Jul/2024;11:54:17 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;11:54:17 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;11:55:11 -0300;/cursos/
200.238.75.200;22/Jul/2024;11:55:13 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;11:55:35 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;11:55:35 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;11:56:18 -0300;/registrar/
200.238.75.200;22/Jul/2024;11:57:40 -0300;/registrar/
200.238.75.200;22/Jul/2024;11:59:23 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;11:59:23 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;11:59:28 -0300;/registrar/
200.238.75.200;22/Jul/2024;12:01:12 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;22/Jul/2024;12:07:16 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;12:07:17 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;12:09:39 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;12:09:39 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;12:10:13 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;12:10:13 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;12:10:32 -0300;/registrar/
200.238.75.200;22/Jul/2024;12:14:43 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;12:14:43 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;12:14:53 -0300;/registrar/
200.238.75.200;22/Jul/2024;12:32:09 -0300;/cursos/
200.238.75.200;22/Jul/2024;13:00:22 -0300;/curso_detail/31
200.238.75.200;22/Jul/2024;13:00:22 -0300;/accounts/login/?next=/curso_detail/31
200.238.75.200;22/Jul/2024;13:11:16 -0300;/cursos/
200.238.75.200;22/Jul/2024;13:13:55 -0300;/ch/
200.238.75.200;22/Jul/2024;13:14:20 -0300;/inscricoes/
200.238.75.200;22/Jul/2024;13:14:29 -0300;/curadoria_show/
200.238.75.200;22/Jul/2024;13:14:31 -0300;/cursos/
200.238.75.200;22/Jul/2024;13:45:39 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;13:45:39 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;13:45:44 -0300;/registrar/
200.238.75.200;22/Jul/2024;13:45:51 -0300;/reset-password/
200.238.75.200;22/Jul/2024;13:46:24 -0300;/reset-password/
200.238.75.200;22/Jul/2024;13:46:41 -0300;/cursos/
200.238.75.200;22/Jul/2024;13:46:41 -0300;/accounts/login/?next=/cursos/
200.238.75.200;22/Jul/2024;13:53:49 -0300;/cursos/
200.238.75.200;22/Jul/2024;13:59:48 -0300;/cursos/
200.238.75.200;22/Jul/2024;14:02:30 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;22/Jul/2024;14:02:51 -0300;/admin/pfc_app/validacao_ch/105/change/
200.238.75.200;22/Jul/2024;14:03:02 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;22/Jul/2024;14:03:11 -0300;/admin/pfc_app/validacao_ch/?p=2
200.238.75.200;22/Jul/2024;14:03:16 -0300;/admin/pfc_app/validacao_ch/70/change/?_changelist_filters=p%3D2
200.238.75.200;22/Jul/2024;14:03:25 -0300;/admin/pfc_app/validacao_ch/?p=2
200.238.75.200;22/Jul/2024;14:03:34 -0300;/admin/pfc_app/validacao_ch/29/change/?_changelist_filters=p%3D2
200.238.75.200;22/Jul/2024;14:03:41 -0300;/admin/pfc_app/validacao_ch/?p=2
200.238.75.200;22/Jul/2024;14:03:58 -0300;/admin/pfc_app/validacao_ch/60/change/?_changelist_filters=p%3D2
200.238.75.200;22/Jul/2024;14:04:17 -0300;/admin/pfc_app/validacao_ch/?p=2
200.238.75.200;22/Jul/2024;14:12:10 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;14:12:10 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;14:12:12 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;14:12:26 -0300;/registrar/
200.238.75.200;22/Jul/2024;14:12:32 -0300;/cursos/
200.238.75.200;22/Jul/2024;14:15:04 -0300;/registrar/
200.238.75.200;22/Jul/2024;14:27:38 -0300;/curso_detail/31
200.238.75.200;22/Jul/2024;14:27:38 -0300;/accounts/login/?next=/curso_detail/31
200.238.75.200;22/Jul/2024;14:28:43 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;14:28:43 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;14:28:45 -0300;/registrar/
200.238.75.200;22/Jul/2024;14:30:34 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;14:30:40 -0300;/inscrever/30/
200.238.75.200;22/Jul/2024;14:30:41 -0300;/cursos/
200.238.75.200;22/Jul/2024;14:30:52 -0300;/logout/
200.238.75.200;22/Jul/2024;14:31:29 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;14:31:50 -0300;/inscrever/30/
200.238.75.200;22/Jul/2024;14:31:50 -0300;/cursos/
200.238.75.200;22/Jul/2024;14:31:54 -0300;/logout/
200.238.75.200;22/Jul/2024;14:32:15 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;14:32:17 -0300;/inscrever/30/
200.238.75.200;22/Jul/2024;14:32:17 -0300;/cursos/
200.238.75.200;22/Jul/2024;14:32:40 -0300;/cursos/
200.238.75.200;22/Jul/2024;14:35:12 -0300;/cursos/
200.238.75.200;22/Jul/2024;14:36:20 -0300;/reset-password/
200.238.75.200;22/Jul/2024;14:36:27 -0300;/reset-password/
200.238.75.200;22/Jul/2024;14:36:30 -0300;/reset-password/
200.238.75.200;22/Jul/2024;14:36:36 -0300;/reset-password/
200.238.75.200;22/Jul/2024;14:36:59 -0300;/reset-password/
200.238.75.200;22/Jul/2024;14:37:05 -0300;/reset-password/
200.238.75.200;22/Jul/2024;14:45:11 -0300;/reset-password/
200.238.75.200;22/Jul/2024;14:45:21 -0300;/cursos/
200.238.75.200;22/Jul/2024;14:45:21 -0300;/accounts/login/?next=/cursos/
200.238.75.200;22/Jul/2024;14:50:08 -0300;/reset-password/
200.238.75.200;22/Jul/2024;14:50:25 -0300;/cursos/
200.238.75.200;22/Jul/2024;14:50:25 -0300;/accounts/login/?next=/cursos/
200.238.75.200;22/Jul/2024;14:52:18 -0300;/update-profile/
200.238.75.200;22/Jul/2024;14:52:37 -0300;/inscricoes/
200.238.75.200;22/Jul/2024;14:52:42 -0300;/validar_ch/
200.238.75.200;22/Jul/2024;14:52:56 -0300;/ch/
200.238.75.200;22/Jul/2024;14:53:21 -0300;/cursos/
200.238.75.200;22/Jul/2024;14:53:28 -0300;/curadoria_show/
200.238.75.200;22/Jul/2024;14:54:00 -0300;/ch/
200.238.75.200;22/Jul/2024;14:55:00 -0300;/cursos/
200.238.75.200;22/Jul/2024;14:56:11 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;14:56:11 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;14:56:18 -0300;/registrar/
200.238.75.200;22/Jul/2024;15:07:44 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:07:44 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;15:08:29 -0300;/accounts/login/?next=/cursos/
200.238.75.200;22/Jul/2024;15:09:14 -0300;/reset-password/
200.238.75.200;22/Jul/2024;15:09:20 -0300;/change-password/
200.238.75.200;22/Jul/2024;15:10:24 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:10:24 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;15:11:38 -0300;/registrar/
200.238.75.200;22/Jul/2024;15:12:58 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:14:00 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:14:54 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:15:48 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:15:48 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;15:15:53 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:15:57 -0300;/cursos/
200.238.75.200;22/Jul/2024;15:15:58 -0300;/reset-password/
200.238.75.200;22/Jul/2024;15:16:06 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:16:10 -0300;/inscrever/30/
200.238.75.200;22/Jul/2024;15:16:11 -0300;/cursos/
200.238.75.200;22/Jul/2024;15:16:11 -0300;/cursos/
200.238.75.200;22/Jul/2024;15:16:11 -0300;/accounts/login/?next=/cursos/
200.238.75.200;22/Jul/2024;15:16:33 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:16:33 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;15:16:46 -0300;/curso_detail/27
200.238.75.200;22/Jul/2024;15:17:30 -0300;/validar_ch/
200.238.75.200;22/Jul/2024;15:17:50 -0300;/inscricoes/
200.238.75.200;22/Jul/2024;15:17:58 -0300;/generate_all_pdfs/12/1/
200.238.75.200;22/Jul/2024;15:18:08 -0300;/generate_all_pdfs/12/1/
200.238.75.200;22/Jul/2024;15:25:59 -0300;/inscricoes/
200.238.75.200;22/Jul/2024;15:31:53 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:31:53 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;15:38:19 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:38:19 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;15:39:53 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;15:40:36 -0300;/curso_detail/31
200.238.75.200;22/Jul/2024;15:40:51 -0300;/curso_detail/27
200.238.75.200;22/Jul/2024;15:41:05 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:41:34 -0300;/inscrever/30/
200.238.75.200;22/Jul/2024;15:41:34 -0300;/cursos/
200.238.75.200;22/Jul/2024;15:42:11 -0300;/curso_detail/31
200.238.75.200;22/Jul/2024;15:42:23 -0300;/change-password/
200.238.75.200;22/Jul/2024;15:42:34 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:42:37 -0300;/cursos/
200.238.75.200;22/Jul/2024;15:42:41 -0300;/logout/
200.238.75.200;22/Jul/2024;15:42:43 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:43:09 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:43:21 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:43:36 -0300;/ch/
200.238.75.200;22/Jul/2024;15:43:39 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:43:44 -0300;/curadoria_show/
200.238.75.200;22/Jul/2024;15:43:45 -0300;/cursos/
200.238.75.200;22/Jul/2024;15:44:04 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;15:44:04 -0300;/cursos/
200.238.75.200;22/Jul/2024;15:44:13 -0300;/curadoria_show/
200.238.75.200;22/Jul/2024;15:44:22 -0300;/change-password/
200.238.75.200;22/Jul/2024;15:44:24 -0300;/inscricoes/
200.238.75.200;22/Jul/2024;15:46:45 -0300;/cursos/
200.238.75.200;22/Jul/2024;15:49:27 -0300;/ch/
200.238.75.200;22/Jul/2024;15:49:56 -0300;/ch/
200.238.75.200;22/Jul/2024;15:49:57 -0300;/inscricoes/
200.238.75.200;22/Jul/2024;15:50:07 -0300;/cursos/
200.238.75.200;22/Jul/2024;15:50:12 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:51:59 -0300;/update-profile/
200.238.75.200;22/Jul/2024;15:52:24 -0300;/curadoria_show/
200.238.75.200;22/Jul/2024;15:53:01 -0300;/logout/
200.238.75.200;22/Jul/2024;15:55:00 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:55:00 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;15:58:00 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:58:00 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;15:58:10 -0300;/registrar/
200.238.75.200;22/Jul/2024;15:59:13 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:59:13 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;15:59:21 -0300;/registrar/
200.238.75.200;22/Jul/2024;15:59:58 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;15:59:58 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;16:00:19 -0300;/registrar/
200.238.75.200;22/Jul/2024;16:00:50 -0300;/curso_detail/30
200.238.75.200;22/Jul/2024;16:00:51 -0300;/accounts/login/?next=/curso_detail/30
200.238.75.200;22/Jul/2024;16:00:59 -0300;/registrar/
200.238.75.200;22/Jul/2024;16:22:05 -0300;/cursos/
200.238.75.200;22/Jul/2024;16:22:11 -0300;/curso_detail/27
200.238.75.200;21/Jul/2024;11:25:04 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;21/Jul/2024;16:31:34 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;01:19:33 -0300;/accounts/login/?next=/ch/
200.238.75.200;12/Jul/2024;03:03:01 -0300;/cursos/
200.238.75.200;12/Jul/2024;03:03:02 -0300;/accounts/login/?next=/cursos/
200.238.75.200;12/Jul/2024;07:05:07 -0300;/cursos/
200.238.75.200;12/Jul/2024;07:05:12 -0300;/cursos/
200.238.75.200;12/Jul/2024;07:05:14 -0300;/curadoria_show/
200.238.75.200;12/Jul/2024;07:05:16 -0300;/inscricoes/
200.238.75.200;12/Jul/2024;07:05:19 -0300;/ch/
200.238.75.200;12/Jul/2024;07:21:42 -0300;/cursos/
200.238.75.200;12/Jul/2024;07:26:16 -0300;/cursos/
200.238.75.200;12/Jul/2024;09:22:25 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;09:22:25 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;09:22:35 -0300;/admin/pfc_app/validacao_ch/190/change/
200.238.75.200;12/Jul/2024;09:26:28 -0300;/admin/pfc_app/validacao_ch/190/change/
200.238.75.200;12/Jul/2024;09:27:01 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;09:28:51 -0300;/cursos/
200.238.75.200;12/Jul/2024;09:28:52 -0300;/admin/pfc_app/validacao_ch/189/change/
200.238.75.200;12/Jul/2024;09:29:02 -0300;/validar_ch/
200.238.75.200;12/Jul/2024;09:29:26 -0300;/admin/pfc_app/validacao_ch/189/change/
200.238.75.200;12/Jul/2024;09:30:11 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;09:30:18 -0300;/admin/pfc_app/validacao_ch/189/change/
200.238.75.200;12/Jul/2024;09:30:29 -0300;/admin/pfc_app/validacao_ch/189/change/
200.238.75.200;12/Jul/2024;09:30:36 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;09:33:53 -0300;/validar_ch/
200.238.75.200;12/Jul/2024;09:34:03 -0300;/ch/
200.238.75.200;12/Jul/2024;09:46:30 -0300;/cursos/
200.238.75.200;12/Jul/2024;09:46:30 -0300;/accounts/login/?next=/cursos/
200.238.75.200;12/Jul/2024;09:47:33 -0300;/cursos/
200.238.75.200;12/Jul/2024;09:47:33 -0300;/accounts/login/?next=/cursos/
200.238.75.200;12/Jul/2024;09:56:05 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;09:56:06 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;09:58:08 -0300;/admin/pfc_app/validacao_ch/191/change/
200.238.75.200;12/Jul/2024;09:59:39 -0300;/cursos/
200.238.75.200;12/Jul/2024;09:59:41 -0300;/admin/pfc_app/validacao_ch/191/change/
200.238.75.200;12/Jul/2024;09:59:49 -0300;/cursos/
200.238.75.200;12/Jul/2024;10:00:47 -0300;/cursos/
200.238.75.200;12/Jul/2024;10:01:21 -0300;/cursos/
200.238.75.200;12/Jul/2024;10:01:34 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;10:04:52 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;10:06:46 -0300;/inscricoes/
200.238.75.200;12/Jul/2024;10:15:14 -0300;/cursos/
200.238.75.200;12/Jul/2024;10:18:11 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;10:27:58 -0300;/cursos/
200.238.75.200;12/Jul/2024;10:36:02 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;10:39:26 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;10:44:52 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;10:45:39 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;10:48:53 -0300;/admin/pfc_app/validacao_ch/191/change/
200.238.75.200;12/Jul/2024;10:55:03 -0300;/cursos/
200.238.75.200;12/Jul/2024;10:55:12 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;10:56:00 -0300;/cursos/
200.238.75.200;12/Jul/2024;10:56:01 -0300;/ch/
200.238.75.200;12/Jul/2024;10:56:27 -0300;/ch/?csrfmiddlewaretoken=razrEBcIHq2XBP6UoL6upFrh58zM0gLYmZhzzQrrLa6ozz3CNnwVxiRBRaB4zbHp&data_inicio=2024-01-01&data_fim=2024-07-12
200.238.75.200;12/Jul/2024;10:56:37 -0300;/ch/?csrfmiddlewaretoken=ZH8AHywDtLZLlLUJXfbr0pUGztEFnUwfUwQICNLmxv3cjvRrmRBS82k0lvGXWPsG&data_inicio=2024-03-01&data_fim=2024-07-12
200.238.75.200;12/Jul/2024;10:58:17 -0300;/cursos/
200.238.75.200;12/Jul/2024;10:58:43 -0300;/cursos/
200.238.75.200;12/Jul/2024;11:00:56 -0300;/inscricoes/
200.238.75.200;12/Jul/2024;11:00:57 -0300;/ch/
200.238.75.200;12/Jul/2024;11:01:01 -0300;/cursos/
200.238.75.200;12/Jul/2024;11:01:02 -0300;/curadoria_show/
200.238.75.200;12/Jul/2024;11:01:03 -0300;/validar_ch/
200.238.75.200;12/Jul/2024;11:01:03 -0300;/inscricoes/
200.238.75.200;12/Jul/2024;11:02:42 -0300;/cursos/
200.238.75.200;12/Jul/2024;11:05:01 -0300;/cursos/
200.238.75.200;12/Jul/2024;11:17:42 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;11:17:47 -0300;/admin/pfc_app/validacao_ch/194/change/
200.238.75.200;12/Jul/2024;11:18:02 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;11:18:15 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;11:18:20 -0300;/cursos/
200.238.75.200;12/Jul/2024;11:18:22 -0300;/validar_ch/
200.238.75.200;12/Jul/2024;11:18:54 -0300;/validar_ch/
200.238.75.200;12/Jul/2024;11:19:00 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;11:19:02 -0300;/admin/pfc_app/validacao_ch/195/change/
200.238.75.200;12/Jul/2024;11:19:50 -0300;/admin/pfc_app/validacao_ch/195/change/
200.238.75.200;12/Jul/2024;11:19:54 -0300;/admin/pfc_app/validacao_ch/
200.238.75.200;12/Jul/2024;11:19:57 -0300;/admin/pfc_app/validacao_ch/191/change/
200.238.75.200;12/Jul/2024;11:20:40 -0300;/cursos/
200.238.75.200;12/Jul/2024;11:21:10 -0300;/cursos/
200.238.75.200;12/Jul/2024;11:21:10 -0300;/accounts/login/?next=/cursos/
200.238.75.200;12/Jul/2024;11:21:27 -0300;/cursos/
